sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total,has_zoom_params
IBIT,BITO,crypto,0.9520105635798506,0.1862426779076091,52.00608075700478,0.4725199435232508,0.7738917585984941,0.6066879921841486,0.482676825291171,0.4947589098532495,0.5052410901467506,478.0,-0.1925125159002125,4.421718826337704,True,1.2772542034619674,A-,1.0076240779972938,0.2137573220923908,0.0,0.0,0.3,0.0,False
RIOT,MARA,crypto,0.8324609235847997,0.1524319545986618,104.48793825388628,0.1955382044540335,0.3119096537165461,0.6083642759778352,1.5965246479413155,0.4677852348993289,0.5322147651006711,1491.0,0.7463412592911867,0.4757306490189554,True,0.7182839222576155,B,0.3849862904766787,0.2475680454013381,0.0,0.0,0.4,0.0,False
COIN,BKCH,crypto,0.8155374819188881,0.2904819412162482,116.03931020372708,0.1507930802998118,0.2225342980761789,0.5123635920198698,1.0226493812078656,0.4932126696832579,0.5067873303167421,1106.0,1.062249548750508,0.989733061439722,True,0.5886759192890791,B-,0.2886759192890791,0.2,0.0,0.0,0.4,0.0,False
MSTR,IBIT,crypto,0.7682321320712302,0.2672072397440643,33.857493203775135,0.0195584858230291,0.0263788326999069,0.6382380581613453,0.9079782165964714,0.5094339622641509,0.490566037735849,478.0,1.836002089404565,-1.6380476348363828,True,0.3230552946718412,B-,0.0230552946718412,0.2,0.0,0.0,0.4,0.0,False
COIN,BLOK,crypto,0.7920506274494505,0.0698319450650256,48.66599279525944,-0.1445135806041653,-0.2098587675005055,0.5249927889927177,0.927256842836,0.488013698630137,0.511986301369863,1169.0,1.509552679394517,-0.250348588734373,True,0.0837827476882065,C,-0.3073348907662755,0.3301680549349743,0.0,0.0,0.4,0.0,False
XLP,XLY,us_sectors_rotation,0.5663978628848634,0.0542929887262799,63.81543823970924,-0.0237819165405256,-0.0340537293930277,0.1367928132269064,0.2482344138344094,0.4919463087248322,0.5080536912751678,1491.0,0.3889973197591276,2.554310160639329,False,0.2494106924992707,C,-0.0525842153923332,0.34570701127372,0.0,0.0,0.15,0.0,False
XLB,XLI,us_sectors_rotation,0.8951319917879624,0.3093281063042662,129.18366865119293,-0.0157506063372483,-0.0234582316177072,0.1259835550152741,0.3235514321546353,0.5120805369127517,0.4879194630872483,1491.0,0.6194913241941477,0.7978252246580144,False,0.2013576028872638,C,-0.0386423971127361,0.2,0.0,0.0,0.25,0.0,False
XLY,XLC,us_sectors_rotation,0.8166454289716217,0.0400004705733584,63.036749682562174,0.0908342837673049,0.1376149695058124,0.1557242425645962,0.2671555943057155,0.5033557046979866,0.4966442953020134,1491.0,0.7164061853987641,1.3792871210299738,False,0.5338213211339083,B-,0.1818216505352592,0.3599995294266416,0.0,0.0,0.25,0.0,False
QQQ,QQQE,us_core_style,0.954528929858216,0.2384489741926572,95.77879291111034,0.1345627701488078,0.2086115421575676,0.140091312110823,0.364012396033786,0.4926174496644295,0.5073825503355704,1491.0,1.5221002443322469,-0.7175249121131513,False,0.4133106017384295,B-,0.2733106017384294,0.2,0.0,0.0,0.0,0.0,False
SPY,RSP,us_core_style,0.9358035444461442,0.6216533618002602,220.94183813414605,0.2754762684488372,0.3896893750402428,0.0945507687942881,0.2843672942386348,0.508724832214765,0.4912751677852349,1491.0,1.177807073105862,0.2168095302394208,False,0.1825714850922344,C,0.5425714850922344,0.0,0.0,0.0,0.1,0.4,False
