timestamp,symbol_x,symbol_y,zscore,ratio,action
2025-06-11 13:57:25,XLC,VOX,-2.06,1.7,open
2025-06-11 13:57:31,RIOT,HIVE,2.81,0.2,open
2025-06-11 13:57:37,MMM,EMR,-2.94,0.85,open
2025-06-11 13:57:55,XITK,ARKW,-2.07,1.54,open
2025-06-11 15:36:40,XLC,VOX,-2.06,1.7,open
2025-06-11 15:36:45,RIOT,HIVE,2.81,0.2,open
2025-06-11 15:36:51,MMM,EMR,-2.94,0.85,open
2025-06-11 15:37:09,XITK,ARKW,-2.07,1.54,open
2025-06-11 17:18:18,XLC,VOX,-2.06,1.7,open
2025-06-11 17:18:23,RIOT,HIVE,2.81,0.2,open
2025-06-11 17:18:29,MMM,EMR,-2.94,0.85,open
2025-06-11 17:18:47,XITK,ARKW,-2.07,1.54,open
2025-06-11 17:38:33,XLC,VOX,-2.06,1.7,open
2025-06-11 17:38:39,RIOT,HIVE,2.81,0.2,open
2025-06-11 17:38:45,MMM,EMR,-2.94,0.85,open
2025-06-11 17:39:03,XITK,ARKW,-2.07,1.54,open
2025-06-11 17:41:57,XLC,VOX,-2.06,1.7,open
2025-06-11 17:42:03,RIOT,HIVE,2.81,0.2,open
2025-06-11 17:42:09,MMM,EMR,-2.94,0.85,open
2025-06-11 17:42:27,XITK,ARKW,-2.07,1.54,open
2025-06-11 17:44:57,XLC,VOX,-2.06,1.7,open
2025-06-11 17:45:02,RIOT,HIVE,2.81,0.2,open
2025-06-11 17:45:08,MMM,EMR,-2.94,0.85,open
2025-06-11 17:45:26,XITK,ARKW,-2.07,1.54,open
