sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total,label_rank,is_clone_like
IBIT,ETHA,crypto,0.792280840873522,0.2604165617564697,62.183817360155935,0.8847460912220917,1.5240756688667636,0.3012134437344411,0.3111742863793294,0.4956521739130435,0.5043478260869565,346.0,0.4278358714118208,2.6230170287670025,False,2.2396612879869537,A+,1.9453755737012397,0.2,0.0,0.0,0.4,0.0057142857142857,7,False
DBC,USO,commodities,0.8256523548175939,6.382229984948179e-05,78.33351762891442,0.7059515801091197,0.9935323811724196,0.1394350125314553,0.2632957875822397,0.5268456375838926,0.4731543624161073,1491.0,0.5732193890489605,0.6733119892811676,False,1.716113655568274,A,1.396158331178169,0.3999361777001505,0.0,0.0,0.1,0.0,6,False
DBA,COW,commodities,0.4442396693184802,0.0041967376765143,38.434083591456194,0.557759084474102,0.7924804433891296,0.2413344348186503,0.2807707888717718,0.5207166853303471,0.4792833146696528,894.0,1.3522548383969848,-1.985677173556052,False,1.3839422626954974,A-,1.106879979069057,0.3958032623234856,0.0,0.0,0.0,0.0,5,False
IBIT,BITO,crypto,0.9520105635798506,0.1862426779076091,52.00608075700478,0.4725199435232508,0.7738917585984941,0.6066879921841486,0.482676825291171,0.4947589098532495,0.5052410901467506,478.0,-0.1925125159002125,4.421718826337704,True,1.2772542034619674,A-,1.0076240779972938,0.2137573220923908,0.0,0.0,0.3,0.0,5,False
IBIT,BKCH,crypto,0.6758288707582921,0.3986379336525369,81.35261669259896,0.3721567305146178,0.5651133478022305,0.3838316528347311,0.5687838516189996,0.5010482180293501,0.4989517819706499,478.0,0.5764126991896861,1.5519120466283094,False,1.0563603969437994,B+,0.7563603969437992,0.2,0.0,0.0,0.4,0.0,4,False
GLD,TIP,fx_macro,0.3402830567866231,0.9681782459752154,,0.7307958651809295,1.0458635359078992,0.2110769730957357,0.4996604651361176,0.538255033557047,0.461744966442953,1491.0,-1.2830500411375467,11.362100880816332,False,1.0529071310137366,B+,1.4529071310137365,0.0,0.0,0.0,0.0,0.4,4,False
SLV,SILJ,commodities,0.7569552578245868,0.2962926663773786,147.92695556390848,0.4491136265288268,0.5822436893584114,0.2340119846479669,0.3821615700387282,0.5040268456375839,0.4959731543624161,1491.0,0.7192368658680426,1.3558210293666213,False,1.0290409776789402,B+,0.8490409776789403,0.2,0.0,0.0,0.1,0.0,4,False
VIG,DVY,thematic_factor,0.8811868172866173,0.3290941379851017,169.4990457184416,0.4647544894538283,0.6661364246362977,0.1012619818775985,0.2975549055122553,0.5201342281879194,0.4798657718120805,1491.0,0.9796979963123498,0.4283550924692383,False,1.0250988885889916,B+,0.9250988885889916,0.0,0.0,0.0,0.25,0.0,4,False
IBB,XBI,us_sectors_rotation,0.9077720760198128,0.0993889114295719,69.3054196018134,0.3269604056277023,0.4793821951168409,0.1226221330254996,0.2030892337318013,0.5073825503355704,0.4926174496644295,1491.0,0.4489230193009712,2.8603839133042444,False,0.9688939195341546,B+,0.6584661575348549,0.3006110885704281,0.0,0.0,0.25,0.0,4,False
SPYG,SPYV,us_core_style,0.800228743880403,0.1594778301017991,107.8190418950224,0.3723973846927304,0.5293726834294841,0.153163679096362,0.3657434352943589,0.5208053691275167,0.4785234899328859,1491.0,1.227927070427061,-0.4198137237323127,False,0.9440089133162228,B+,0.7356433943874822,0.2405221698982009,0.0,0.0,0.1,0.0,4,False
