trial_id,state,value,param_z_entry,param_z_exit,param_lookback,param_atr_window,param_entry_decay,param_exit_decay,param_edge_min,param_atr_max,param_corr_min,param_beta_lo,param_beta_hi,param_coint_pmax,param_half_life_max,param_notional,param_slippage_bps,param_slippage_mode,param_slippage_atr_frac,param_transaction_cost_per_trade,param_bar_lag,param_max_bars_held,param_z_stop,param_run_dd_stop_pct,metric_sharpe,metric_total_pnl,metric_max_drawdown,metric_cagr,metric_win_rate,metric_avg_trade_pnl,metric_n_trades,metric_strategy,metric_symbols,metric_window,metric_config,metric_metrics,metric_trades,metric_run_id,metric_scenario_name,metric_regime_summary
0,COMPLETE,-1000000.0,2.1,1.3000000000000003,85,12,0.5,1.0,0.05,7.0,0.5700000000000001,1.5,0.5,0.07,93,170894,6.4,atr_frac,0.085,1.3,1,14,4.2,0.27,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 85, 'atr_window': 12, 'z_entry': 2.1, 'z_exit': 1.3000000000000003, 'edge_min': 0.05, 'atr_max': 7.0, 'corr_min': 0.5700000000000001, 'beta_range': (0.5, 1.5), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.07, 'hl_window': None, 'half_life_max': 93.0, 'exec': {'bar_lag': 1, 'slippage_mode': 'atr_frac', 'slippage_bps': 6.4, 'slippage_atr_frac': 0.085, 'transaction_cost_per_trade': 1.3, 'notional': 170894.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 14, 'z_stop': 4.2, 'run_dd_stop_pct': 0.27, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
1,COMPLETE,-1000000.0,1.2000000000000002,0.30000000000000004,205,55,0.6,0.4,1.05,6.1000000000000005,-0.37,-1.2,-0.7,0.06,77,23218,7.5,bps,0.195,6.300000000000001,4,6,5.0,0.35000000000000003,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 205, 'atr_window': 55, 'z_entry': 1.2000000000000002, 'z_exit': 0.30000000000000004, 'edge_min': 1.05, 'atr_max': 6.1000000000000005, 'corr_min': -0.37, 'beta_range': (-1.2, -0.7), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.06, 'hl_window': None, 'half_life_max': 77.0, 'exec': {'bar_lag': 4, 'slippage_mode': 'bps', 'slippage_bps': 7.5, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 6.300000000000001, 'notional': 23218.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 6, 'z_stop': 5.0, 'run_dd_stop_pct': 0.35000000000000003, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
2,COMPLETE,-1000000.0,2.9000000000000004,1.4000000000000001,165,36,0.4,0.7000000000000001,0.9500000000000001,6.5,0.8600000000000001,-1.5,-1.2,0.02,93,37722,8.4,atr_frac,0.065,6.6000000000000005,2,44,3.0,0.39,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 165, 'atr_window': 36, 'z_entry': 2.9000000000000004, 'z_exit': 1.4000000000000001, 'edge_min': 0.9500000000000001, 'atr_max': 6.5, 'corr_min': 0.8600000000000001, 'beta_range': (-1.5, -1.2), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.02, 'hl_window': None, 'half_life_max': 93.0, 'exec': {'bar_lag': 2, 'slippage_mode': 'atr_frac', 'slippage_bps': 8.4, 'slippage_atr_frac': 0.065, 'transaction_cost_per_trade': 6.6000000000000005, 'notional': 37722.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 44, 'z_stop': 3.0, 'run_dd_stop_pct': 0.39, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
3,COMPLETE,-1000000.0,2.9000000000000004,0.1,45,14,0.2,0.5,1.3,6.0,0.6600000000000001,-1.8,0.6000000000000001,0.01,78,151593,4.800000000000001,atr_frac,0.025,5.300000000000001,3,96,5.0,0.23,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 45, 'atr_window': 14, 'z_entry': 2.9000000000000004, 'z_exit': 0.1, 'edge_min': 1.3, 'atr_max': 6.0, 'corr_min': 0.6600000000000001, 'beta_range': (-1.8, 0.6000000000000001), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.01, 'hl_window': None, 'half_life_max': 78.0, 'exec': {'bar_lag': 3, 'slippage_mode': 'atr_frac', 'slippage_bps': 4.800000000000001, 'slippage_atr_frac': 0.025, 'transaction_cost_per_trade': 5.300000000000001, 'notional': 151593.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 96, 'z_stop': 5.0, 'run_dd_stop_pct': 0.23, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
4,COMPLETE,-1000000.0,1.2000000000000002,0.8,40,40,0.9,0.8,0.30000000000000004,7.9,-0.010000000000000009,-1.7,-1.6,0.12,62,6401,9.0,atr_frac,0.02,8.3,3,6,0.4,0.35000000000000003,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 40, 'atr_window': 40, 'z_entry': 1.2000000000000002, 'z_exit': 0.8, 'edge_min': 0.30000000000000004, 'atr_max': 7.9, 'corr_min': -0.010000000000000009, 'beta_range': (-1.7, -1.6), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.12, 'hl_window': None, 'half_life_max': 62.0, 'exec': {'bar_lag': 3, 'slippage_mode': 'atr_frac', 'slippage_bps': 9.0, 'slippage_atr_frac': 0.02, 'transaction_cost_per_trade': 8.3, 'notional': 6401.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 6, 'z_stop': 0.4, 'run_dd_stop_pct': 0.35000000000000003, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
5,COMPLETE,-1000000.0,2.7,0.30000000000000004,140,40,0.7000000000000001,0.4,0.65,9.200000000000001,0.010000000000000009,-0.19999999999999996,1.5,0.13,55,6308,2.1,bps,0.1,3.0,3,26,1.0,0.17,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 140, 'atr_window': 40, 'z_entry': 2.7, 'z_exit': 0.30000000000000004, 'edge_min': 0.65, 'atr_max': 9.200000000000001, 'corr_min': 0.010000000000000009, 'beta_range': (-0.19999999999999996, 1.5), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.13, 'hl_window': None, 'half_life_max': 55.0, 'exec': {'bar_lag': 3, 'slippage_mode': 'bps', 'slippage_bps': 2.1, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 3.0, 'notional': 6308.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 26, 'z_stop': 1.0, 'run_dd_stop_pct': 0.17, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
6,COMPLETE,-1000000.0,1.5,1.4000000000000001,250,43,1.0,0.1,0.35000000000000003,9.1,0.8300000000000001,1.4000000000000004,2.0,0.15,4,184144,0.4,atr_frac,0.16,4.7,4,28,4.3,0.43,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 250, 'atr_window': 43, 'z_entry': 1.5, 'z_exit': 1.4000000000000001, 'edge_min': 0.35000000000000003, 'atr_max': 9.1, 'corr_min': 0.8300000000000001, 'beta_range': (1.4000000000000004, 2.0), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.15, 'hl_window': None, 'half_life_max': 4.0, 'exec': {'bar_lag': 4, 'slippage_mode': 'atr_frac', 'slippage_bps': 0.4, 'slippage_atr_frac': 0.16, 'transaction_cost_per_trade': 4.7, 'notional': 184144.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 28, 'z_stop': 4.3, 'run_dd_stop_pct': 0.43, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
7,COMPLETE,-1000000.0,0.6,1.5,175,10,0.1,1.0,0.8,5.4,0.71,-0.7,-1.0,0.04,34,144578,4.6000000000000005,bps,0.16,6.1000000000000005,0,89,0.5,0.19,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 175, 'atr_window': 10, 'z_entry': 0.6, 'z_exit': 1.5, 'edge_min': 0.8, 'atr_max': 5.4, 'corr_min': 0.71, 'beta_range': (-1.0, -0.7), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.04, 'hl_window': None, 'half_life_max': 34.0, 'exec': {'bar_lag': 0, 'slippage_mode': 'bps', 'slippage_bps': 4.6000000000000005, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 6.1000000000000005, 'notional': 144578.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 89, 'z_stop': 0.5, 'run_dd_stop_pct': 0.19, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
8,COMPLETE,-1000000.0,0.6,1.2000000000000002,240,17,1.0,0.8,0.0,8.200000000000001,0.19999999999999996,1.6,-0.5999999999999999,0.07,50,48585,2.2,bps,0.02,3.2,4,24,0.0,0.0,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 240, 'atr_window': 17, 'z_entry': 0.6, 'z_exit': 1.2000000000000002, 'edge_min': None, 'atr_max': 8.200000000000001, 'corr_min': 0.19999999999999996, 'beta_range': (-0.5999999999999999, 1.6), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.07, 'hl_window': None, 'half_life_max': 50, 'exec': {'bar_lag': 4, 'slippage_mode': 'bps', 'slippage_bps': 2.2, 'slippage_atr_frac': 0.0, 'transaction_cost_per_trade': 3.2, 'notional': 48585.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 24, 'z_stop': None, 'run_dd_stop_pct': None, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
9,COMPLETE,-1000000.0,1.0,1.4000000000000001,110,14,0.30000000000000004,0.5,0.6000000000000001,7.2,0.54,0.5,-0.5,0.03,57,37969,5.6000000000000005,atr_frac,0.09,2.3000000000000003,3,80,4.6000000000000005,0.45,,,,,,,0,Strategy.PAIRS_ZSCORE,"('XLP', 'XLY')","(datetime.datetime(2018, 1, 1, 0, 0), datetime.datetime(2025, 12, 5, 0, 0))","{'lookback': 110, 'atr_window': 14, 'z_entry': 1.0, 'z_exit': 1.4000000000000001, 'edge_min': 0.6000000000000001, 'atr_max': 7.2, 'corr_min': 0.54, 'beta_range': (-0.5, 0.5), 'edge_exit_min': None, 'atr_exit_max': None, 'coint_pmax': 0.03, 'hl_window': None, 'half_life_max': 57.0, 'exec': {'bar_lag': 3, 'slippage_mode': 'atr_frac', 'slippage_bps': 5.6000000000000005, 'slippage_atr_frac': 0.09, 'transaction_cost_per_trade': 2.3000000000000003, 'notional': 37969.0, 'target_annual_vol': 0.0, 'notional_max': 0.0}, 'risk': {'max_bars_held': 80, 'z_stop': 4.6000000000000005, 'run_dd_stop_pct': 0.45, 'max_open_trades': None, 'kill_switch_pnl': None}, 'entry_conditions': ['Z-Score'], 'exit_conditions': ['Z-Score']}","{'Sharpe': 0.0, 'Profit': 0.0, 'Drawdown': 0.0, 'WinRate': 0.0, 'ProfitFactor': nan, 'Calmar': 0.0, 'Trades': 0, 'AvgPnL': 0.0, 'MedianPnL': 0.0, 'Sortino': 0.0, 'AvgBarsHeld': 0.0, 'ExposurePct': 0.0, 'Skew': 0.0, 'Kurtosis': 0.0, 'MaxConsecLosses': 0.0}","Empty DataFrame
Columns: [entry_time, exit_time, side, entry_idx, exit_idx, entry_z, exit_z, entry_beta, entry_corr, entry_spread, atr_at_entry, edge_at_entry, pnl, bars_held]
Index: []",,,
